,대회날짜,대회명,선수이름,챔피언,스펠1,스펠2,승/패,킬,데스,어시,KDA,킬관여율
149,17.10.22,2017 LoL World Championship 8강 4경기 3세트,WE 957,초가스,점멸,순간이동,패,1,1,1,2,40%
150,17.10.22,2017 LoL World Championship 8강 4경기 2세트,WE Ben,카르마,점멸,회복,패,0,3,6,2,86%
151,17.10.22,2017 LoL World Championship 8강 4경기 2세트,WE Mystic,코그모,방어막,점멸,패,4,5,1,1,71%
152,17.10.22,2017 LoL World Championship 8강 4경기 2세트,WE xiye,코르키,순간이동,점멸,패,2,4,2,1,57%
153,17.10.22,2017 LoL World Championship 8강 4경기 2세트,WE Condi,세주아니,점멸,강타,패,1,2,4,2.5,71%
154,17.10.22,2017 LoL World Championship 8강 4경기 2세트,WE 957,마오카이,점멸,순간이동,패,0,4,3,0.8,43%
155,17.10.22,2017 LoL World Championship 8강 4경기 2세트,C9 Smoothie,타릭,점멸,회복,승,0,1,1,15,83%
156,17.10.22,2017 LoL World Championship 8강 4경기 2세트,C9 Sneaky,트리스타나,점멸,방어막,승,7,2,5,6,67%
157,17.10.22,2017 LoL World Championship 8강 4경기 2세트,C9 Jensen,오리아나,점멸,정화,승,6,1,1,16,89%
158,17.10.22,2017 LoL World Championship 8강 4경기 2세트,C9 Contractz,자르반 4세,강타,점멸,승,4,1,1,18,100%
159,17.10.22,2017 LoL World Championship 8강 4경기 2세트,C9 Impact,신지드,점멸,순간이동,승,1,2,9,5,56%
160,17.10.22,2017 LoL World Championship 8강 4경기 1세트,C9 Smoothie,룰루,점멸,회복,패,1,1,7,8,73%
161,17.10.22,2017 LoL World Championship 8강 4경기 1세트,C9 Sneaky,케이틀린,점멸,방어막,패,3,3,4,2.3,64%
162,17.10.22,2017 LoL World Championship 8강 4경기 1세트,C9 Jensen,아우렐리온 솔,점멸,회복,패,3,4,7,2.5,91%
163,17.10.22,2017 LoL World Championship 8강 4경기 1세트,C9 Contractz,자르반 4세,강타,점멸,패,1,3,5,2,55%
164,17.10.22,2017 LoL World Championship 8강 4경기 1세트,C9 Impact,쉔,점멸,순간이동,패,3,3,5,2.7,73%
165,17.10.22,2017 LoL World Championship 8강 4경기 1세트,WE Ben,잔나,점멸,회복,승,0,1,1,12,86%
166,17.10.22,2017 LoL World Championship 8강 4경기 1세트,WE Mystic,코그모,방어막,점멸,승,6,3,7,4.3,93%
167,17.10.22,2017 LoL World Championship 8강 4경기 1세트,WE xiye,코르키,순간이동,점멸,승,6,3,6,4,86%
168,17.10.22,2017 LoL World Championship 8강 4경기 1세트,WE Condi,그라가스,점멸,강타,승,1,1,7,8,57%
169,17.10.22,2017 LoL World Championship 8강 4경기 1세트,WE 957,초가스,점멸,순간이동,승,1,3,1,3.7,79%
170,17.10.21,2017 LoL World Championship 8강 3경기 4세트,RNG Ming,소라카,회복,점멸,승,1,1,8,9,90%
171,17.10.21,2017 LoL World Championship 8강 3경기 4세트,RNG Uzi,트위치,정화,점멸,승,4,0,4,9.6,80%
172,17.10.21,2017 LoL World Championship 8강 3경기 4세트,RNG Xiaohu,코르키,점멸,순간이동,승,3,1,7,10,100%
173,17.10.21,2017 LoL World Championship 8강 3경기 4세트,RNG Mlxg,자르반 4세,점멸,강타,승,2,3,4,2,60%
174,17.10.21,2017 LoL World Championship 8강 3경기 4세트,RNG Letme,쉔,순간이동,점멸,승,0,1,8,8,80%
175,17.10.21,2017 LoL World Championship 8강 3경기 4세트,FNC Jesiz,타릭,점멸,회복,패,0,2,4,2,67%
176,17.10.21,2017 LoL World Championship 8강 3경기 4세트,FNC Rekkles,바루스,점멸,방어막,패,0,2,5,2.5,83%
177,17.10.21,2017 LoL World Championship 8강 3경기 4세트,FNC Caps,갈리오,순간이동,점멸,패,0,3,6,2,100%
178,17.10.21,2017 LoL World Championship 8강 3경기 4세트,FNC Broxah,세주아니,점멸,강타,패,3,2,2,2.5,83%
179,17.10.21,2017 LoL World Championship 8강 3경기 4세트,FNC SoAZ,나르,순간이동,점멸,패,3,1,1,4,67%
180,17.10.21,2017 LoL World Championship 8강 3경기 3세트,RNG Ming,모르가나,회복,점멸,패,1,1,2,23,85%
181,17.10.21,2017 LoL World Championship 8강 3경기 3세트,RNG Uzi,코그모,방어막,점멸,패,1,2,5,12,89%
182,17.10.21,2017 LoL World Championship 8강 3경기 3세트,RNG Xiaohu,갈리오,점멸,순간이동,패,3,1,2,24,89%
183,17.10.21,2017 LoL World Championship 8강 3경기 3세트,RNG Mlxg,자르반 4세,점멸,강타,패,2,2,2,11,81%
184,17.10.21,2017 LoL World Championship 8강 3경기 3세트,RNG Letme,초가스,순간이동,점멸,패,2,6,1,2.3,52%
185,17.10.21,2017 LoL World Championship 8강 3경기 3세트,FNC Jesiz,카르마,점멸,회복,승,0,4,5,1.3,42%
186,17.10.21,2017 LoL World Championship 8강 3경기 3세트,FNC Rekkles,트리스타나,점멸,방어막,승,4,6,5,1.5,75%
187,17.10.21,2017 LoL World Championship 8강 3경기 3세트,FNC Caps,말자하,유체화,점멸,승,3,7,5,1.1,67%
188,17.10.21,2017 LoL World Championship 8강 3경기 3세트,FNC Broxah,세주아니,점멸,강타,승,0,2,6,3,50%
189,17.10.21,2017 LoL World Championship 8강 3경기 3세트,FNC SoAZ,나르,순간이동,점멸,승,5,8,1,0.8,50%
190,17.10.21,2017 LoL World Championship 8강 3경기 2세트,RNG Ming,소라카,회복,점멸,승,0,2,4,2,80%
191,17.10.21,2017 LoL World Championship 8강 3경기 2세트,RNG Uzi,트리스타나,방어막,점멸,승,4,1,0,4,80%
192,17.10.21,2017 LoL World Championship 8강 3경기 2세트,RNG Xiaohu,신드라,점멸,정화,승,1,1,2,3,60%
193,17.10.21,2017 LoL World Championship 8강 3경기 2세트,RNG Mlxg,자르반 4세,점멸,강타,승,0,4,5,1.3,100%
194,17.10.21,2017 LoL World Championship 8강 3경기 2세트,RNG Letme,마오카이,순간이동,점멸,승,0,1,3,3,60%
195,17.10.21,2017 LoL World Championship 8강 3경기 2세트,FNC Jesiz,잔나,점멸,회복,패,0,1,8,8,89%
196,17.10.21,2017 LoL World Championship 8강 3경기 2세트,FNC Rekkles,베인,점멸,방어막,패,3,0,3,7.2,67%
197,17.10.21,2017 LoL World Championship 8강 3경기 2세트,FNC Caps,탈리야,회복,점멸,패,4,1,3,7,78%
198,17.10.21,2017 LoL World Championship 8강 3경기 2세트,FNC Broxah,세주아니,점멸,강타,패,1,1,5,6,67%
199,17.10.21,2017 LoL World Championship 8강 3경기 2세트,FNC SoAZ,초가스,순간이동,점멸,패,1,2,1,1,22%
200,17.10.21,2017 LoL World Championship 8강 3경기 1세트,RNG Ming,소라카,회복,점멸,승,0,3,5,1.7,50%
201,17.10.21,2017 LoL World Championship 8강 3경기 1세트,RNG Uzi,트리스타나,방어막,점멸,승,4,2,2,3,60%
202,17.10.21,2017 LoL World Championship 8강 3경기 1세트,RNG Xiaohu,라이즈,점멸,회복,승,2,1,2,4,40%
203,17.10.21,2017 LoL World Championship 8강 3경기 1세트,RNG Mlxg,세주아니,점멸,강타,승,1,1,3,4,40%
204,17.10.21,2017 LoL World Championship 8강 3경기 1세트,RNG Letme,초가스,순간이동,점멸,승,3,1,5,8,80%
